Stock,Epic,Qty,Price,Target,Stop,Date,Sell,Sell Date,P/L
Telecom Plus,TEP,210,2280.0,2600,2100,2022-11-21,2045.0,2022-01-18,-494.0
Argentex,AGFX,4000,106.3,135,90,2022-11-18,136.2,2022-12-14,1196.0
BAE Systems,BAE,600,719.8,820,670,2022-11-14,,,
Iqgeo,IQG,2500,176.6,220,135,2022-11-07,,,
Craneware,CRW,500,1944.2,2300,1700,2022-11-07,2030.0,2022-12-09,429.0
Bodycote,BOY,750,508.0,560,440,2022-11-03,605.3,2022-12-06,729.0
Craneware,CRW,175,1745.6,1950,1600,2022-10-27,1700.0,2023-01-19,-178.0
Indivior,INDV,250,1597.6,1890,1398,2022-10-27,1522.0,2023-03-06,-189.0
Bloomsbury,BMY,2500,424.0,475,360,2022-10-26,,,
K3C,K3C,1000,254.3,325,220,2022-10-25,347.0,2023-01-12,927.0
Next 15,NFC,400,852.3,1100,720,2022-10-24,1012.0,2023-02-20,639.0
GB Group,GBG,1000,343.0,450,310,2022-10-20,308.0,2023-03-22,-350.0
Big Technologies,BIG,1000,263.1,290,215,2022-10-14,275.5,2022-11-08,124.0
Begbies,BEG,2500,123.4,143,115,2022-10-10,143.9,2022-12-13,512.0
ITV,ITV,4500,60.36,79,52,2022-10-10,75.0,2022-12-15,659.0
Victorian Plumbing,VIC,10000,38.4,60,32,2022-10-06,76.0,2023-06-09,3760.0
Victorian Plumbing,VIC,10000,39.19,60,33,2022-10-06,91.5,2023-02-06,5231.0
NWF,NWF,1000,239.8,280,190,2022-09-29,262.6,2023-07-26,228.0
Spirent,SPT,1200,258.8,285,228,2022-09-28,249.0,2023-01-23,-117.0
Argentex,AGFX,4000,86.5,95,74,2022-09-23,120.45,2023-07-10,1188.0
Argentex,AGFX,4000,80.9,94,75,2022-09-21,136.2,2022-12-14,2212.0
Ricardo,RCDO,1000,415.9,490,385,2022-09-20,,,
BAE,BA,250,780.2,880,720,2022-09-14,,,
Airtel Africa,AAF,2500,131.5,152,127,2022-09-06,138.2,2022-09-25,168.0
Airtel Africa,AAF,2500,132.18,153,127,2022-09-06,138.2,2022-09-25,151.0
GB Group,GBG,1500,500.85,680,410,2022-09-06,526.3,2022-10-04,382.0
Spire,SPI,1500,229.0,280,215,2022-09-05,227.2,2022-09-20,-27.0
GB Group,GBG,1000,480.0,650,410,2022-09-05,501.1,2022-10-04,211.0
NWF,NWF,1000,236.0,270,215,2022-08-26,262.6,2023-07-26,266.0
Foxtons,FOXT,12000,38.75,45,32,2022-07-21,36.8,2022-09-12,-234.0
Ricardo,RCDO,750,392.71,440,365,2022-07-20,,,
Computacentre,CCC,101,2435.97,2750,2300,2022-07-20,2576.0,2022-08-08,141.0
Watches of Switzerland,WOSG,500,742.0,950,650,2022-07-12,897.5,2022-09-12,777.0
Me Group International,MEGP,10000,79.1,120,65,2022-07-11,109.4,2022-08-09,3030.0
Concurrent,CNC,5000,77.64,95,60,2022-07-08,85.6,2022-09-16,398.0
Airtel Africa,AAF,3500,147.9,165,135,2022-07-08,153.6,2022-08-10,200.0
Telecom Plus,TEP,350,1962.0,2200,1850,2022-07-05,2167.7,2022-07-25,719.0
Facilities by ADF,ADF,10000,56.78,77,45,2022-06-24,50.2,2022-09-20,-676.0
Team 17,TM17,1000,388.65,440,340,2022-06-24,468.1,2022-08-04,795.0
Airtel Africa,AAF,3500,132.9,152,128,2022-06-23,153.6,2022-08-10,725.0
BAE Systems,BA,1000,754.0,890,670,2022-06-22,822.6,2022-07-06,686.0
Alliance Pharma,APH,2500,109.4,125,102,2022-06-17,105.94,2022-07-20,-87.0
I Energiser,IBPO,500,390.0,450,320,2022-06-08,190.0,2023-04-21,-1000.0
Me Group International,MEGP,5000,76.5,88,65,2022-06-07,,,
Argentex,AGFX,5000,75.3,85,66,2022-05-30,120.45,2023-07-10,2257.0
ITV,ITV,5000,68.2,85,62,2022-05-11,70.1,2022-06-07,95.0
Team 17,TM17,1000,385.0,460,320,2022-05-11,461.0,2022-06-10,760.0
K3C,K3C,1500,232.2,280,210,2022-05-10,347.0,2023-01-12,1722.0
Begbies,BEG,5000,118.5,135,102,2022-05-09,145.0,2022-07-19,1325.0
Watches of Switzerland,WOSG,500,864.5,1250,810,2022-05-06,914.0,2022-06-09,428.0
Redrow,RDW,500,521.9,590,450,2022-04-28,574.0,2022-08-04,261.0
BAE Systems,BA,750,729.0,840,650,2022-04-26,,,
Telecom Plus,TEP,200,1472.0,1700,1350,2022-04-25,,,
Totally,TLY,15000,40.3,48,31,2022-04-21,36.5,2022-09-05,-570.0
Diploma,DPLM,250,2716.0,2940,2550,2022-04-12,2562.0,2022-05-09,-385.0
Easyjet,EZJ,650,522.8,580,450,2022-04-11,497.0,2022-06-06,-168.0
888,888,1500,200.91,280,182,2022-04-06,175.2,2022-07-06,-385.0
Finsbury Food,FIF,5000,69.4,77,62,2022-04-05,71.66,2022-05-05,113.0
Argentex,AGFX,5000,70.51,82,55,2022-03-31,120.45,2023-07-10,2497.0
Indivior,INDV,1000,267.0,330,220,2022-03-24,328.4,2022-04-26,614.0
Bloomsbury,BMY,1000,358.9,425,320,2022-03-23,397.36,2022-10-20,384.0
Knights,KGH,2000,147.4,172,130,2022-03-23,131.0,2022-04-22,-308.0
Science,SAG,1000,402.5,450,340,2022-03-16,,,
Somero,SOM,1000,470.0,550,420,2022-03-09,436.9,2022-04-21,-331.0
Morgan Advanced Material,MGAM,1000,303.0,340,245,2022-03-09,295.0,2022-08-09,-80.0
Next Fifteen,NFC,500,1111.9,1380,1010,2022-03-04,1034.4,2022-08-04,-387.0
Begbies,BEG,5000,102.6,128,96,2022-03-02,143.9,2022-12-13,2065.0
Chemring,CHG,2000,272.6,330,245,2022-02-25,,,
Qinetic,QQ,1500,262.1,290,243,2022-02-25,374.0,2022-06-06,1679.0
Indivior,INDV,1500,218.8,270,195,2022-02-14,,,
Bloomsbury,BMY,1000,331.0,380,290,2022-01-25,,,
Sureserve,SUR,2500,87.5,105,67,2022-01-25,123.9,2023-05-02,910.0
IG Group,IGG,350,804.0,920,740,2022-01-19,828.0,2022-04-22,84.0
Facilities by ADF,ADF,10000,56.5,75,38,2022-01-07,59.0,2022-09-12,250.0
Time Finance,TIME,10000,23.9,33,17,2022-01-07,18.0,2022-08-18,-590.0
Easyjet,EZJ,1000,518.6,650,470,2021-12-21,714.0,2022-02-15,1954.0
Jet2,JET2,600,985.7,1200,900,2021-12-21,1415.0,2022-02-16,3296.0
ITV,ITV,5000,105.4,135,92,2021-12-20,100.0,2022-03-03,-270.0
Harbourvest Global,HVPE,200,2742.5,2950,2450,2021-12-15,2830.0,2022-01-18,175.0
Spire,SPI,2000,243.9,280,220,2021-12-15,235.4,2022-04-22,-188.0
Gattaca,GATC,5000,119.9,150,105,2021-12-14,95.0,2022-01-20,-1245.0
Finsbury Food,FIF,5000,96.8,110,86,2021-12-08,95.5,2022-01-18,-65.0
Vertu,VTU,5000,67.8,76,61,2021-12-08,73.62,2022-01-18,293.0
CMC,CMCX,1500,238.3,290,210,2021-12-01,290.0,2022-03-29,776.0
Telecom Plus,TEP,400,1358.0,1500,1250,2021-11-23,1520.0,2021-12-09,648.0
Record,REC,5000,75.8,89,62,2021-11-23,95.75,2023-02-22,997.0
GB Group,GBG,500,724.4,850,660,2021-11-19,526.3,2022-10-04,-989.0
Royal Mail,RMG,1200,460.5,550,400,2021-11-18,508.0,2021-11-29,570.0
I Energiser,IBPO,1000,287.58,340,230,2021-11-11,190.0,2023-04-21,-975.0
I Energiser,IBPO,500,277.0,340,220,2021-11-11,190.0,2023-04-21,-435.0
Gattaca,GATC,1500,153.5,195,135,2021-11-09,149.9,2021-11-25,-54.0
ITV,ITV,10000,105.5,145,95,2021-11-03,100.0,2022-03-03,-550.0
Centralnic,CNIC,1500,136.0,165,105,2021-11-03,143.1,2021-11-30,106.0
Hill and Smith,HILS,220,1811.4,1950,1650,2021-11-03,1667.5,2021-12-30,-317.0
Up Global,UPGS,3000,170.2,210,140,2021-11-01,211.0,2021-11-22,1224.0
